"","geocod","geodsg","valor","sinal_conv","sinal_conv_desc","municip","ars","nuts3","aces2","nuts1","nuts2","cod_geo_nuts2002","year","aggregation"
"76","11D0914","Vila Nova de Foz Côa",1.69,"","","Vila Nova de Foz Côa","Centro","Douro","ULS Guarda","Continente","Norte","1170914","1.º Semestre de 2018","NUTSIII"
"77","11D1714","Vila Real",3.43,"","","Vila Real","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171714","1.º Semestre de 2018","NUTSIII"
"78","11E0401","Alfândega da Fé",NA,"-","Dado nulo ou não aplicável","Alfândega da Fé","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180401","1.º Semestre de 2018","NUTSIII"
"79","11E0402","Bragança",2.67,"","","Bragança","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180402","1.º Semestre de 2018","NUTSIII"
"80","11E0405","Macedo de Cavaleiros",2.12,"","","Macedo de Cavaleiros","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180405","1.º Semestre de 2018","NUTSIII"
"81","11E0406","Miranda do Douro",NA,"-","Dado nulo ou não aplicável","Miranda do Douro","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180406","1.º Semestre de 2018","NUTSIII"
"82","11E0407","Mirandela",2.75,"","","Mirandela","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180407","1.º Semestre de 2018","NUTSIII"
"83","11E0408","Mogadouro",2.54,"","","Mogadouro","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180408","1.º Semestre de 2018","NUTSIII"
"84","11E0410","Vila Flor",1.81,"","","Vila Flor","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1170410","1.º Semestre de 2018","NUTSIII"
"85","11E0411","Vimioso",NA,"-","Dado nulo ou não aplicável","Vimioso","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180411","1.º Semestre de 2018","NUTSIII"
"86","11E0412","Vinhais",NA,"-","Dado nulo ou não aplicável","Vinhais","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180412","1.º Semestre de 2018","NUTSIII"
"87","16B1001","Alcobaça",3.41,"","","Alcobaça","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1001","1.º Semestre de 2018","NUTSIII"
"88","16B1101","Alenquer",4.05,"","","Alenquer","Lisboa e Vale do Tejo","Oeste","ACeS Estuário do Tejo","Continente","Centro","16B1101","1.º Semestre de 2018","NUTSIII"
"89","16B1102","Arruda dos Vinhos",4.11,"","","Arruda dos Vinhos","Lisboa e Vale do Tejo","Oeste","ACeS Estuário do Tejo","Continente","Centro","16B1102","1.º Semestre de 2018","NUTSIII"
"90","16B1005","Bombarral",2.87,"","","Bombarral","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1005","1.º Semestre de 2018","NUTSIII"
"91","16B1104","Cadaval",3.14,"","","Cadaval","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1104","1.º Semestre de 2018","NUTSIII"
"92","16B1006","Caldas da Rainha",3.8,"","","Caldas da Rainha","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1006","1.º Semestre de 2018","NUTSIII"
"93","16B1108","Lourinhã",3.6,"","","Lourinhã","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1108","1.º Semestre de 2018","NUTSIII"
"94","16B1011","Nazaré",3.65,"","","Nazaré","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1011","1.º Semestre de 2018","NUTSIII"
"95","16B1012","Óbidos",3.2,"","","Óbidos","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1012","1.º Semestre de 2018","NUTSIII"
"96","16B1014","Peniche",3.81,"","","Peniche","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1014","1.º Semestre de 2018","NUTSIII"
"97","16B1112","Sobral de Monte Agraço",3.57,"","","Sobral de Monte Agraço","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1112","1.º Semestre de 2018","NUTSIII"
"98","16B1113","Torres Vedras",4.4,"","","Torres Vedras","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1113","1.º Semestre de 2018","NUTSIII"
"99","16D0101","Águeda",3.17,"","","Águeda","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610101","1.º Semestre de 2018","NUTSIII"
"100","16D0102","Albergaria-a-Velha",3.36,"","","Albergaria-a-Velha","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610102","1.º Semestre de 2018","NUTSIII"
"101","16D0103","Anadia",3.03,"","","Anadia","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610103","1.º Semestre de 2018","NUTSIII"
"102","16D0105","Aveiro",4.85,"","","Aveiro","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610105","1.º Semestre de 2018","NUTSIII"
"103","16D0108","Estarreja",3.26,"","","Estarreja","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610108","1.º Semestre de 2018","NUTSIII"
"104","16D0110","Ílhavo",4.15,"","","Ílhavo","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610110","1.º Semestre de 2018","NUTSIII"
"105","16D0112","Murtosa",3.48,"","","Murtosa","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610112","1.º Semestre de 2018","NUTSIII"
"106","16D0114","Oliveira do Bairro",2.9,"","","Oliveira do Bairro","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610114","1.º Semestre de 2018","NUTSIII"
"107","16D0115","Ovar",3.71,"","","Ovar","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610115","1.º Semestre de 2018","NUTSIII"
"108","16D0117","Sever do Vouga",2.55,"","","Sever do Vouga","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610117","1.º Semestre de 2018","NUTSIII"
"109","16D0118","Vagos",3.13,"","","Vagos","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610118","1.º Semestre de 2018","NUTSIII"
"110","16E0601","Arganil",2.51,"","","Arganil","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640601","1.º Semestre de 2018","NUTSIII"
"111","16E0602","Cantanhede",2.98,"","","Cantanhede","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620602","1.º Semestre de 2018","NUTSIII"
"112","16E0603","Coimbra",5.15,"","","Coimbra","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620603","1.º Semestre de 2018","NUTSIII"
"113","16E0604","Condeixa-a-Nova",3.14,"","","Condeixa-a-Nova","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620604","1.º Semestre de 2018","NUTSIII"
"114","16E0605","Figueira da Foz",3.85,"","","Figueira da Foz","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620605","1.º Semestre de 2018","NUTSIII"
"115","16E0606","Góis",NA,"-","Dado nulo ou não aplicável","Góis","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640606","1.º Semestre de 2018","NUTSIII"
"116","16E0607","Lousã",2.6,"","","Lousã","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640607","1.º Semestre de 2018","NUTSIII"
"117","16E0111","Mealhada",2.92,"","","Mealhada","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1610111","1.º Semestre de 2018","NUTSIII"
"118","16E0608","Mira",2.77,"","","Mira","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620608","1.º Semestre de 2018","NUTSIII"
"119","16E0609","Miranda do Corvo",2.85,"","","Miranda do Corvo","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640609","1.º Semestre de 2018","NUTSIII"
"120","16E0610","Montemor-o-Velho",3.12,"","","Montemor-o-Velho","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620610","1.º Semestre de 2018","NUTSIII"
"121","16E1808","Mortágua",NA,"-","Dado nulo ou não aplicável","Mortágua","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1651808","1.º Semestre de 2018","NUTSIII"
"122","16E0611","Oliveira do Hospital",2.47,"","","Oliveira do Hospital","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640611","1.º Semestre de 2018","NUTSIII"
"123","16E0612","Pampilhosa da Serra",NA,"-","Dado nulo ou não aplicável","Pampilhosa da Serra","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640612","1.º Semestre de 2018","NUTSIII"
