geocod,geodsg,dim_3_t,municip,<1 ano,ars,nuts3,aces2,0 - 4 anos,5 - 9 anos,10 - 14 anos,15 - 19 anos,20 - 24 anos,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 - 80 anos,81 - 84 anos,85 e mais anos,Total
1312,Porto,M,Porto,801,Norte,Área Metropolitana do Porto,ACeS Porto Ocidental e Porto Oriental,3291,4290,4586,5076,6399,7323,7473,7469,7865,8239,8130,9063,8935,8748,8499,6873,5722,6865,125647
1313,Póvoa de Varzim,H,Póvoa de Varzim,236,Norte,Área Metropolitana do Porto,ACeS Póvoa de Varzim/Vila do Conde,1007,1347,1711,1887,1903,1822,1708,1887,2288,2429,2274,2077,2014,1794,1584,1078,691,501,30238
1313,Póvoa de Varzim,M,Póvoa de Varzim,216,Norte,Área Metropolitana do Porto,ACeS Póvoa de Varzim/Vila do Conde,998,1332,1680,1764,1832,1833,1809,2142,2490,2789,2615,2588,2355,2160,1873,1489,1040,1012,34017
0109,Santa Maria da Feira,H,Santa Maria da Feira,514,Norte,Área Metropolitana do Porto,ACeS Feira/Arouca,2216,2839,3244,3627,3942,3713,3694,4036,4977,5243,5123,5286,4817,4041,3304,2406,1595,1263,65880
0109,Santa Maria da Feira,M,Santa Maria da Feira,445,Norte,Área Metropolitana do Porto,ACeS Feira/Arouca,2132,2725,3051,3470,3831,3604,3669,4384,5267,5670,5572,5752,5204,4522,3818,3067,2330,2281,70794
1314,Santo Tirso,H,Santo Tirso,229,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,949,1195,1357,1647,1908,1791,1779,1909,2278,2470,2479,2577,2375,2339,1974,1316,946,723,32241
1314,Santo Tirso,M,Santo Tirso,185,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,915,1179,1336,1611,1829,1749,1713,1977,2518,2624,2804,2958,2700,2632,2310,1656,1380,1392,35468
0116,São João da Madeira,H,São João da Madeira,73,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,342,458,521,564,633,595,596,677,775,785,794,753,732,658,512,391,284,237,10380
0116,São João da Madeira,M,São João da Madeira,67,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,264,440,515,536,603,593,621,698,852,958,919,955,918,809,649,515,418,433,11763
1318,Trofa,H,Trofa,144,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,633,765,885,1019,1169,1112,1140,1246,1391,1458,1421,1476,1195,1136,942,619,444,278,18473
